codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pcn,desviacion,comparacion_dcn,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,aprendizaje_7,aprendizaje_8,aprendizaje_9,aprendizaje_10,aprendizaje_11,aprendizaje_12,aprendizaje_13,aprendizaje_14,aprendizaje_15,aprendizaje_16,aprendizaje_17,aprendizaje_18,aprendizaje_19,aprendizaje_20,aprendizaje_21,aprendizaje_22,aprendizaje_23,aprendizaje_24,aprendizaje_25,aprendizaje_26,Competencia
105021000139,ALEJANDRÍA,I. E. PROCESA DELGADO,47,Similar,9,Similar,24%,59%,17%,0%,49%,57%,29%,58%,71%,33%,52%,60%,56%,47%,41%,61%,42%,61%,47%,62%,53%,56%,57%,60%,54%,N.D.,65%,46%,51%,63%,Ciencias Naturales
10503000001,AMAGÁ,I. E. ESCUELA NORMAL SUPERIOR AMAGA,49,Similar,8,Similar,21%,60%,19%,0%,40%,60%,36%,54%,68%,41%,49%,55%,61%,42%,29%,66%,35%,64%,54%,59%,45%,64%,60%,57%,53%,N.D.,69%,43%,54%,59%,Ciencias Naturales
205030000243,AMAGÁ,I. E. PASCUAL CORREA FLOREZ,44,Similar,8,Similar,37%,57%,6%,0%,54%,58%,56%,59%,70%,51%,47%,68%,55%,39%,43%,68%,58%,73%,52%,70%,58%,67%,66%,55%,58%,N.D.,63%,58%,53%,69%,Ciencias Naturales
105030000028,AMAGÁ,I. E. SAN FERNANDO,50,Similar,9,Similar,12%,61%,25%,1%,37%,52%,35%,56%,67%,36%,41%,57%,55%,33%,29%,58%,39%,62%,45%,51%,36%,67%,63%,55%,51%,N.D.,63%,45%,58%,49%,Ciencias Naturales
205030000111,AMAGÁ,INSTITUCION EDUCATIVA RURAL BELISARIO BETANCUR CUARTAS,44,Similar,10,Similar,45%,39%,16%,0%,55%,58%,50%,66%,68%,61%,58%,53%,67%,63%,45%,72%,42%,68%,57%,62%,62%,70%,62%,66%,54%,N.D.,66%,56%,60%,54%,Ciencias Naturales
105031001583,AMALFI,I. E. PUEBLO NUEVO,48,Similar,9,Similar,21%,54%,25%,0%,42%,61%,42%,46%,63%,46%,43%,48%,55%,63%,30%,63%,36%,58%,55%,58%,47%,73%,57%,65%,55%,N.D.,66%,61%,54%,59%,Ciencias Naturales
105031001516,AMALFI,I. E. EDUARDO FERNANDEZ BOTERO,53,Similar,10,Similar,12%,45%,41%,3%,37%,54%,27%,45%,57%,36%,42%,56%,53%,30%,21%,55%,33%,62%,45%,44%,35%,67%,56%,52%,45%,N.D.,60%,40%,35%,47%,Ciencias Naturales
205031000191,AMALFI,I. E. R. PORTACHUELO,41,Similar,5,Mayor,33%,67%,0%,0%,50%,75%,100%,63%,75%,100%,57%,100%,78%,100%,67%,86%,33%,67%,56%,70%,50%,100%,75%,100%,60%,N.D.,67%,67%,50%,71%,Ciencias Naturales
105031000056,AMALFI,INSTITUCIÓN EDUCATIVA PRESBITERO GERARDO MONTOYA,44,Similar,8,Similar,39%,48%,12%,0%,56%,61%,46%,60%,67%,51%,52%,63%,63%,68%,43%,65%,44%,65%,62%,62%,55%,75%,70%,62%,56%,N.D.,73%,54%,54%,66%,Ciencias Naturales
205034000256,ANDES,INSTITUCION EDUCATIVA SANTA RITA,46,Similar,8,Similar,33%,58%,9%,0%,52%,55%,37%,53%,67%,44%,58%,62%,62%,45%,45%,58%,46%,74%,55%,58%,66%,64%,58%,63%,49%,N.D.,71%,52%,71%,65%,Ciencias Naturales
105034000278,ANDES,I. E. MARCO FIDEL SUAREZ,52,Similar,10,Similar,16%,53%,28%,3%,39%,56%,31%,55%,58%,37%,29%,46%,49%,27%,32%,57%,35%,58%,48%,51%,55%,61%,46%,49%,45%,N.D.,65%,43%,42%,53%,Ciencias Naturales
10503400074,ANDES,INSTITUCION EDUCATIVA JUAN DE DIOS URIBE,47,Similar,9,Similar,32%,50%,18%,0%,43%,63%,24%,56%,58%,47%,42%,76%,60%,42%,38%,64%,23%,66%,56%,52%,56%,73%,71%,65%,52%,N.D.,65%,47%,26%,56%,Ciencias Naturales
105034001207,ANDES,INSTITUCION EDUCATIVA MARIA AUXILIADORA,58,Menor,9,Similar,6%,33%,49%,11%,23%,38%,33%,36%,56%,21%,31%,43%,49%,18%,20%,47%,21%,51%,45%,35%,31%,47%,42%,29%,27%,N.D.,49%,34%,39%,37%,Ciencias Naturales
205034000345,ANDES,I. E. FELIPE HENAO JARAMILLO,45,Similar,7,Similar,24%,68%,9%,0%,51%,59%,35%,57%,67%,49%,58%,57%,65%,58%,41%,69%,44%,64%,50%,66%,51%,69%,68%,69%,64%,N.D.,61%,55%,55%,64%,Ciencias Naturales
205034000248,ANDES,INSTITUCION EDUCATIVA TAPARTO,49,Similar,8,Similar,19%,52%,29%,0%,45%,55%,21%,59%,64%,44%,39%,53%,56%,40%,41%,63%,44%,60%,41%,49%,34%,70%,51%,58%,51%,N.D.,62%,43%,59%,59%,Ciencias Naturales
105034000014,ANDES,INSTITUCION EDUCATIVA SAN JUAN DE LOS ANDES,57,Menor,9,Similar,7%,44%,47%,2%,34%,42%,26%,46%,52%,22%,26%,46%,49%,13%,21%,57%,23%,43%,34%,44%,39%,55%,47%,42%,31%,N.D.,58%,32%,34%,36%,Ciencias Naturales
205034001317,ANDES,I. E. SAN PERUCHITO,48,Similar,9,Similar,19%,56%,26%,0%,46%,45%,28%,58%,65%,44%,54%,66%,69%,38%,44%,59%,41%,68%,54%,57%,32%,75%,76%,55%,55%,N.D.,70%,43%,46%,62%,Ciencias Naturales
205034000078,ANDES,INSTITUCIÓN EDUCATIVA RURAL CARBONERA,47,Similar,7,Similar,19%,71%,10%,0%,39%,55%,29%,64%,65%,37%,49%,69%,64%,25%,44%,68%,50%,69%,39%,61%,54%,77%,70%,49%,51%,N.D.,73%,43%,54%,65%,Ciencias Naturales
205034000329,ANDES,C. E. R. SANTA INES,47,Similar,7,Similar,28%,61%,11%,0%,44%,56%,16%,55%,69%,45%,55%,48%,71%,71%,40%,73%,50%,66%,52%,71%,30%,71%,54%,58%,55%,N.D.,76%,55%,55%,65%,Ciencias Naturales
105036000097,ANGELÓPOLIS,INSTITUCION EDUCATIVA SAN JOSE,43,Similar,8,Similar,38%,54%,8%,0%,62%,62%,41%,65%,71%,42%,58%,79%,61%,41%,50%,67%,49%,69%,55%,66%,56%,72%,75%,70%,58%,N.D.,71%,53%,75%,62%,Ciencias Naturales
205036000083,ANGELÓPOLIS,INSTITUCION EDUCATIVA LOS ANGELES,41,Similar,8,Similar,41%,53%,6%,0%,58%,58%,54%,69%,80%,60%,68%,69%,51%,38%,50%,63%,57%,78%,60%,63%,70%,73%,69%,64%,72%,N.D.,82%,58%,65%,74%,Ciencias Naturales
105038000019,ANGOSTURA,I. E. MARIANO DE JESUS EUSSE,45,Similar,9,Similar,39%,47%,13%,0%,52%,63%,39%,55%,71%,46%,45%,64%,66%,58%,46%,65%,48%,71%,57%,61%,61%,72%,74%,64%,56%,N.D.,73%,52%,52%,56%,Ciencias Naturales
205038000439,ANGOSTURA,C. E. R. PAJARITO ARRIBA,41,Similar,6,Mayor,46%,52%,2%,0%,59%,67%,55%,72%,76%,60%,54%,75%,60%,49%,53%,76%,54%,71%,59%,70%,69%,69%,72%,72%,67%,N.D.,72%,64%,59%,65%,Ciencias Naturales
105040000212,ANORÍ,I. E. ANORI,44,Similar,9,Similar,40%,52%,8%,0%,61%,65%,46%,60%,66%,54%,50%,63%,63%,49%,46%,68%,53%,67%,57%,68%,58%,68%,70%,70%,59%,N.D.,72%,53%,58%,66%,Ciencias Naturales
205040001434,ANORÍ,I.E.R LA CRISTALINA,39,Mayor,6,Mayor,67%,30%,2%,0%,67%,67%,55%,63%,70%,61%,75%,70%,73%,60%,58%,71%,64%,70%,65%,69%,69%,80%,77%,68%,70%,N.D.,69%,69%,63%,67%,Ciencias Naturales
305042000707,SANTA FÉ DE ANTIOQUIA,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL -IAUR-,56,Menor,10,Similar,9%,36%,45%,9%,14%,52%,40%,47%,30%,23%,24%,48%,44%,33%,21%,46%,13%,56%,39%,50%,35%,65%,40%,27%,34%,N.D.,63%,32%,15%,50%,Ciencias Naturales
105042000732,SANTA FÉ DE ANTIOQUIA,I. E. ARTURO VELASQUEZ ORTIZ,48,Similar,11,Similar,27%,51%,21%,2%,47%,56%,36%,57%,71%,41%,51%,64%,54%,45%,36%,64%,46%,65%,52%,55%,53%,68%,63%,53%,54%,N.D.,67%,49%,50%,56%,Ciencias Naturales
10504200018,SANTA FÉ DE ANTIOQUIA,I. E. SAN LUIS GONZAGA,47,Similar,9,Similar,26%,53%,21%,0%,51%,54%,47%,59%,65%,42%,49%,65%,61%,46%,39%,66%,47%,62%,49%,56%,52%,71%,62%,57%,52%,N.D.,68%,47%,47%,60%,Ciencias Naturales
205042000281,SANTA FÉ DE ANTIOQUIA,I. E. R. NURQUI,43,Similar,6,Mayor,41%,59%,0%,0%,51%,68%,61%,65%,71%,55%,52%,72%,69%,64%,44%,71%,64%,75%,64%,67%,47%,74%,76%,67%,61%,N.D.,60%,45%,73%,64%,Ciencias Naturales
205042000508,SANTA FÉ DE ANTIOQUIA,I. E. R. OGOSCO,40,Similar,7,Similar,59%,37%,5%,0%,63%,69%,49%,73%,72%,68%,54%,74%,67%,59%,51%,79%,65%,66%,56%,76%,62%,70%,77%,77%,71%,N.D.,74%,68%,69%,63%,Ciencias Naturales
205042000354,SANTA FÉ DE ANTIOQUIA,C. E. R. EL PESCADO,40,Similar,7,Similar,55%,43%,3%,0%,61%,70%,63%,74%,73%,65%,55%,66%,69%,71%,49%,73%,48%,72%,63%,69%,73%,75%,66%,72%,66%,N.D.,75%,76%,56%,81%,Ciencias Naturales
205044000017,ANZÁ,I. E. R. ASCENSION MONTOYA DE TORRES,46,Similar,11,Similar,37%,37%,26%,0%,46%,63%,39%,56%,59%,57%,44%,58%,53%,50%,38%,66%,60%,68%,57%,51%,49%,67%,76%,63%,61%,N.D.,69%,49%,47%,64%,Ciencias Naturales
105044000128,ANZÁ,I. E. ANZA,47,Similar,8,Similar,16%,63%,21%,0%,40%,66%,36%,53%,71%,56%,44%,67%,53%,56%,38%,68%,38%,61%,53%,44%,58%,61%,78%,58%,48%,N.D.,74%,48%,56%,50%,Ciencias Naturales
205051001347,ARBOLETES,INSTITUCION EDUCATIVA RURAL BUENOS AIRES,38,Mayor,6,Mayor,70%,30%,0%,0%,76%,77%,44%,68%,74%,70%,67%,69%,67%,67%,66%,70%,56%,73%,56%,78%,61%,69%,79%,86%,68%,N.D.,79%,73%,67%,76%,Ciencias Naturales
205051002238,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA TRINIDAD,45,Similar,7,Similar,29%,61%,11%,0%,46%,60%,48%,69%,64%,45%,56%,61%,61%,40%,41%,70%,24%,55%,57%,68%,60%,68%,71%,60%,60%,N.D.,79%,65%,56%,65%,Ciencias Naturales
105051000508,ARBOLETES,I. E. JOSE MANUEL RESTREPO,44,Similar,8,Similar,40%,54%,3%,2%,54%,65%,47%,65%,72%,48%,51%,69%,65%,59%,46%,71%,45%,72%,58%,65%,61%,77%,65%,63%,59%,N.D.,73%,57%,53%,66%,Ciencias Naturales
205051001959,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA CANDELARIA,44,Similar,6,Mayor,34%,61%,5%,0%,51%,70%,46%,59%,65%,57%,49%,63%,63%,58%,42%,72%,46%,57%,64%,67%,55%,74%,68%,73%,60%,N.D.,69%,57%,60%,70%,Ciencias Naturales
205051000081,ARBOLETES,I. E. R. PAJILLAL,42,Similar,7,Similar,47%,47%,6%,0%,59%,64%,50%,70%,72%,62%,49%,82%,71%,86%,46%,78%,64%,68%,61%,49%,73%,74%,79%,71%,61%,N.D.,68%,66%,65%,78%,Ciencias Naturales
205051001339,ARBOLETES,I. E. R. EL CARMELO,44,Similar,8,Similar,38%,54%,8%,0%,56%,53%,42%,65%,69%,53%,45%,70%,58%,50%,50%,73%,59%,72%,69%,56%,70%,75%,72%,68%,55%,N.D.,75%,62%,52%,60%,Ciencias Naturales
205051002696,ARBOLETES,INSTITUCION EDUCATIVA RURAL SANTA FE DE LAS PLATAS,39,Mayor,6,Mayor,66%,34%,0%,0%,71%,69%,56%,70%,69%,58%,65%,64%,72%,56%,58%,72%,69%,79%,55%,76%,69%,75%,77%,81%,63%,N.D.,74%,75%,86%,74%,Ciencias Naturales
2050510027,ARBOLETES,I. E. R. GUADUAL ARRIBA,41,Similar,6,Mayor,57%,40%,2%,0%,54%,60%,57%,65%,75%,57%,58%,74%,59%,53%,53%,69%,63%,68%,62%,72%,69%,57%,83%,75%,66%,N.D.,76%,69%,63%,80%,Ciencias Naturales
105051000028,ARBOLETES,INSTITUCION EDUCATIVA MIGUEL VICENTE GARRIDO ORTIZ,48,Similar,9,Similar,26%,51%,23%,0%,45%,59%,39%,56%,69%,40%,41%,65%,56%,47%,37%,60%,43%,58%,54%,54%,52%,69%,60%,59%,53%,N.D.,62%,53%,49%,57%,Ciencias Naturales
205051002467,ARBOLETES,I. E. R. BAJO LA ARENOSA,42,Similar,6,Mayor,42%,54%,4%,0%,68%,57%,48%,68%,63%,64%,48%,68%,56%,42%,46%,73%,66%,72%,54%,77%,74%,70%,73%,59%,54%,N.D.,73%,69%,58%,70%,Ciencias Naturales
405051007999,ARBOLETES,I. E. R. INDIGENA EL CANIME,37,Mayor,6,Mayor,71%,29%,0%,0%,74%,73%,63%,60%,58%,80%,68%,81%,68%,83%,71%,74%,66%,69%,66%,67%,69%,68%,90%,74%,68%,N.D.,76%,66%,65%,68%,Ciencias Naturales
105055000022,ARGELIA,I. E. SANTA TERESA,44,Similar,8,Similar,40%,51%,9%,0%,56%,64%,57%,61%,63%,56%,45%,64%,78%,67%,42%,67%,53%,71%,65%,70%,54%,72%,79%,63%,54%,N.D.,74%,53%,65%,67%,Ciencias Naturales
205055000281,ARGELIA,I. E. R. PRESBITERO MARIO ANGEL,42,Similar,8,Similar,47%,42%,11%,0%,58%,65%,50%,54%,67%,56%,54%,73%,67%,63%,56%,63%,45%,79%,55%,72%,70%,62%,75%,61%,60%,N.D.,82%,63%,58%,64%,Ciencias Naturales
105059000116,ARMENIA,INSTITUCION EDUCATIVA ROSA MESA DE MEJIA,50,Similar,7,Similar,12%,56%,32%,0%,38%,49%,32%,50%,71%,45%,38%,62%,51%,50%,27%,68%,29%,67%,45%,53%,54%,75%,54%,54%,31%,N.D.,65%,52%,39%,48%,Ciencias Naturales
105079000406,BARBOSA,I. E. PRESBITERO LUIS EDUARDO PEREZ MOLINA,45,Similar,11,Similar,40%,41%,18%,1%,48%,60%,45%,62%,68%,46%,58%,63%,64%,50%,45%,67%,46%,63%,56%,60%,53%,62%,64%,55%,56%,N.D.,73%,56%,54%,58%,Ciencias Naturales
