codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
31100100899,BOGOTÁ D.C.,COLEGIO SUPERIOR AMERICANO,66,Menor,12,Similar,3%,18%,30%,38%,11%,Inglés
311001035253,BOGOTÁ D.C.,COLEGIO EL DUQUE DE RIVAS,60,Similar,10,Similar,6%,35%,39%,10%,10%,Inglés
311001109257,BOGOTÁ D.C.,GIMNASIO MONTREAL,64,Similar,10,Similar,8%,18%,37%,34%,3%,Inglés
311001004021,BOGOTÁ D.C.,LICEO LA SABANA,72,Menor,12,Similar,2%,9%,20%,42%,27%,Inglés
11100110955,BOGOTÁ D.C.,COLEGIO RODOLFO LLINAS IED,66,Menor,12,Similar,4%,22%,28%,34%,12%,Inglés
11100101107,BOGOTÁ D.C.,COLEGIO MIGUEL ANTONIO CARO (IED),56,Similar,13,Similar,28%,35%,19%,9%,8%,Inglés
111001034134,BOGOTÁ D.C.,COLEGIO CLEMENCIA DE CAYCEDO (IED),51,Similar,10,Similar,35%,40%,19%,4%,1%,Inglés
311001092214,BOGOTÁ D.C.,GIMNASIO MAYOR DE OCCIDENTE,62,Similar,13,Similar,14%,25%,25%,29%,6%,Inglés
111001011011,BOGOTÁ D.C.,COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED),55,Similar,10,Similar,23%,41%,26%,9%,1%,Inglés
111001046931,BOGOTÁ D.C.,COLEGIO ATABANZHA (IED),51,Similar,10,Similar,39%,39%,17%,4%,0%,Inglés
311102000141,BOGOTÁ D.C.,COLEGIO CLARETIANO,60,Similar,10,Similar,12%,31%,33%,19%,4%,Inglés
311001017522,BOGOTÁ D.C.,COLEGIO SAN JUAN BOSCO,62,Similar,13,Similar,17%,20%,30%,30%,3%,Inglés
111848003031,BOGOTÁ D.C.,COLEGIO CRISTOBAL COLON (IED),51,Similar,10,Similar,40%,33%,21%,6%,0%,Inglés
111001046485,BOGOTÁ D.C.,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),50,Similar,9,Mayor,42%,46%,9%,2%,1%,Inglés
111279000184,BOGOTÁ D.C.,COLEGIO LUIS ANGEL ARANGO  (IED),60,Similar,9,Mayor,6%,37%,32%,20%,5%,Inglés
111001011771,BOGOTÁ D.C.,COLEGIO JOSE ASUNCION SILVA (IED),54,Similar,10,Similar,28%,32%,28%,12%,0%,Inglés
111001036765,BOGOTÁ D.C.,COLEGIO JOSE MARTI (IED),47,Mayor,10,Similar,45%,45%,7%,4%,0%,Inglés
111001016292,BOGOTÁ D.C.,COLEGIO KENNEDY (IED),54,Similar,10,Similar,29%,38%,20%,11%,1%,Inglés
111001012963,BOGOTÁ D.C.,COLEGIO BENJAMIN HERRERA (IED),54,Similar,11,Similar,26%,37%,25%,10%,2%,Inglés
311001034362,BOGOTÁ D.C.,COLEGIO SANTIAGO MAYOR,68,Menor,11,Similar,0%,16%,36%,32%,16%,Inglés
311001000859,BOGOTÁ D.C.,CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,67,Menor,9,Mayor,2%,12%,37%,38%,12%,Inglés
311001019061,BOGOTÁ D.C.,COLEGIO COOPERATIVO DE LOS ALAMOS,60,Similar,10,Similar,11%,32%,36%,17%,5%,Inglés
31100109473,BOGOTÁ D.C.,INSTITUTO SAN FRANCISCO,54,Similar,8,Mayor,26%,43%,29%,2%,0%,Inglés
311001027986,BOGOTÁ D.C.,GIMNASIO TUNDAMA,60,Similar,10,Similar,11%,28%,39%,22%,0%,Inglés
111001098922,BOGOTÁ D.C.,COLEGIO LAS MERCEDES (IED),50,Similar,9,Mayor,43%,38%,15%,4%,1%,Inglés
111001027251,BOGOTÁ D.C.,COLEGIO LEON DE GREIFF (IED),47,Mayor,7,Mayor,54%,39%,7%,0%,0%,Inglés
111001013153,BOGOTÁ D.C.,COLEGIO PAULO VI (IED),50,Similar,9,Mayor,39%,40%,17%,3%,1%,Inglés
311001029539,BOGOTÁ D.C.,LICEO HOMERICO,57,Similar,9,Mayor,17%,50%,17%,17%,0%,Inglés
311001076758,BOGOTÁ D.C.,LICEO VAL (VIDA-AMOR-LUZ),67,Menor,7,Mayor,0%,0%,60%,30%,10%,Inglés
311001090912,BOGOTÁ D.C.,COL CRISTIANO SEMILLA DE VIDA,65,Menor,9,Mayor,2%,21%,38%,31%,8%,Inglés
311001090807,BOGOTÁ D.C.,COLEGIO PSICOPEDAGOGICO VILLAVERDE,58,Similar,12,Similar,21%,26%,26%,26%,0%,Inglés
11100101317,BOGOTÁ D.C.,COLEGIO SAN RAFAEL (IED),56,Similar,11,Similar,19%,39%,25%,15%,2%,Inglés
111001014974,BOGOTÁ D.C.,COLEGIO FRANCISCO DE MIRANDA (IED),54,Similar,9,Mayor,25%,43%,20%,12%,0%,Inglés
311769003211,BOGOTÁ D.C.,COL SANTA ISABEL DE HUNGRIA,61,Similar,9,Mayor,3%,34%,34%,27%,2%,Inglés
111001107859,BOGOTÁ D.C.,COL ANTONIO GARCIA (IED),50,Similar,10,Similar,46%,35%,13%,6%,1%,Inglés
3110010369,BOGOTÁ D.C.,COLEGIO CIUDAD PATIO BONITO,55,Similar,8,Mayor,18%,38%,36%,9%,0%,Inglés
411001094661,BOGOTÁ D.C.,COLEGIO EVERGREEN,81,Menor,11,Similar,0%,0%,0%,60%,40%,Inglés
311001036292,BOGOTÁ D.C.,COLEGIO ANDRES ROSILLO,59,Similar,8,Mayor,11%,39%,31%,19%,0%,Inglés
311001033366,BOGOTÁ D.C.,INST DE INTEGRACION CULTURAL IDIC,59,Similar,9,Mayor,10%,40%,30%,19%,1%,Inglés
111001015172,BOGOTÁ D.C.,COLEGIO ALEJANDRO OBREGON (IED),57,Similar,10,Similar,21%,41%,21%,14%,2%,Inglés
11100100958,BOGOTÁ D.C.,COLEGIO INSTITUTO TECNICO  JUAN DEL CORRAL (IED),56,Similar,9,Mayor,16%,44%,28%,10%,1%,Inglés
31100108954,BOGOTÁ D.C.,GIMNASIO NUEVO MODELIA,78,Menor,8,Mayor,0%,0%,11%,37%,53%,Inglés
311001108781,BOGOTÁ D.C.,GIMNASIO MODERNO SAN FRANCISCO  EL TINTAL,68,Menor,8,Mayor,0%,14%,31%,45%,10%,Inglés
311001003891,BOGOTÁ D.C.,INSTITUTO SAN PABLO APOSTOL,72,Menor,10,Similar,4%,4%,11%,56%,24%,Inglés
311001030308,BOGOTÁ D.C.,LICEO ROMULO GALLEGOS,62,Similar,12,Similar,20%,16%,20%,36%,8%,Inglés
311001015112,BOGOTÁ D.C.,COL PARROQ MONSEÑOR EMILIO DE BRIGARD,62,Similar,9,Mayor,10%,23%,35%,32%,0%,Inglés
311001028427,BOGOTÁ D.C.,GIMN COMERCIAL LOS ANDES,54,Similar,12,Similar,39%,19%,26%,16%,0%,Inglés
311001095469,BOGOTÁ D.C.,GIMNASIO PSICOPEDAGOGICO SUBA,66,Menor,11,Similar,4%,11%,48%,26%,11%,Inglés
111001027383,BOGOTÁ D.C.,COLEGIO ALFREDO IRIARTE (IED),52,Similar,10,Similar,35%,42%,15%,6%,1%,Inglés
111001018384,BOGOTÁ D.C.,COLEGIO SAN ISIDRO SUR ORIENTAL (IED),51,Similar,12,Similar,35%,37%,18%,7%,3%,Inglés
311001001642,BOGOTÁ D.C.,COLEGIO NUEVA GENERACIÓN ALTAMIRA - CONGA,54,Similar,8,Mayor,22%,44%,31%,3%,0%,Inglés
311001094993,BOGOTÁ D.C.,COLEGIO MAYOR DE GALES,61,Similar,11,Similar,17%,14%,42%,17%,11%,Inglés
311001050252,BOGOTÁ D.C.,LICEO MAYOR ANDINO,66,Menor,10,Similar,4%,17%,29%,42%,8%,Inglés
311001000727,BOGOTÁ D.C.,LICEO SUPERIOR DE BOGOTA,63,Similar,12,Similar,15%,16%,28%,31%,10%,Inglés
11100110776,BOGOTÁ D.C.,COLEGIO PAULO FREIRE (IED) (LOTE CIUDADELA NUEVO MILENIO),51,Similar,10,Similar,41%,38%,15%,4%,2%,Inglés
311001003378,BOGOTÁ D.C.,GIMN PEDAG NSTRA SRA DE FATIMA,67,Menor,13,Similar,6%,15%,38%,26%,15%,Inglés
111001015598,BOGOTÁ D.C.,COLEGIO LAS AMERICAS (IED),52,Similar,10,Similar,33%,43%,16%,8%,1%,Inglés
311001087636,BOGOTÁ D.C.,INSTITUTO ACADEMICO LA PORTADA,49,Mayor,10,Similar,48%,33%,14%,5%,0%,Inglés
111001086835,BOGOTÁ D.C.,COLEGIO SIERRA MORENA (IED),48,Mayor,10,Similar,52%,34%,11%,2%,0%,Inglés
311001000689,BOGOTÁ D.C.,LICEO GOLDEN RULE,62,Similar,8,Mayor,0%,30%,55%,10%,5%,Inglés
311001046263,BOGOTÁ D.C.,LICEO CONTADORA,62,Similar,8,Mayor,3%,31%,41%,23%,3%,Inglés
311001091129,BOGOTÁ D.C.,COLEGIO HOGAR DE NAZARETH,61,Similar,10,Similar,8%,26%,41%,22%,4%,Inglés
311769002451,BOGOTÁ D.C.,COLEGIO NEIL ARMSTRONG,53,Similar,10,Similar,24%,53%,12%,12%,0%,Inglés
111001076767,BOGOTÁ D.C.,COLEGIO CASTILLA (IED),58,Similar,11,Similar,18%,29%,34%,18%,2%,Inglés
311001029229,BOGOTÁ D.C.,ATENEO JUAN EUDES                                                                                   ,61,Similar,10,Similar,9%,31%,40%,14%,6%,Inglés
311848002343,BOGOTÁ D.C.,COL SANTA MARIANA DE JESUS,69,Menor,10,Similar,2%,13%,30%,41%,15%,Inglés
311001006784,BOGOTÁ D.C.,GIMNASIO LOS CIPRESES,57,Similar,0,Mayor,0%,100%,0%,0%,0%,Inglés
11100110695,BOGOTÁ D.C.,COLEGIO ALFONSO LOPEZ MICHELSEN (PUERTA DEL SOL) ( IED),53,Similar,10,Similar,33%,39%,19%,9%,1%,Inglés
311001002428,BOGOTÁ D.C.,COLEGIO NUEVO GIMNASIO,80,Menor,9,Mayor,0%,0%,9%,26%,65%,Inglés
311001093601,BOGOTÁ D.C.,LICEO MATOVELLE                                                             ,72,Menor,9,Mayor,0%,6%,22%,53%,19%,Inglés
311001065012,BOGOTÁ D.C.,INSTITUTO SUSANA WESLEY,54,Similar,8,Mayor,16%,59%,16%,9%,0%,Inglés
111001000353,BOGOTÁ D.C.,COLEGIO SALESIANO JUAN DEL RIZZO,59,Similar,9,Mayor,9%,35%,42%,13%,1%,Inglés
311001075395,BOGOTÁ D.C.,COLEGIO CIUDAD DE CALI,53,Similar,12,Similar,36%,36%,12%,15%,1%,Inglés
111001100013,BOGOTÁ D.C.,COLEGIO CALASANZ (IED),61,Similar,10,Similar,11%,26%,40%,18%,5%,Inglés
111001107875,BOGOTÁ D.C.,COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),53,Similar,9,Mayor,29%,45%,19%,7%,0%,Inglés
111001026069,BOGOTÁ D.C.,COLEGIO TECNICO MENORAH (IED),58,Similar,10,Similar,17%,33%,30%,18%,1%,Inglés
31100100613,BOGOTÁ D.C.,INSTITUTO INFANTIL Y JUVENIL,66,Menor,9,Mayor,4%,14%,38%,42%,2%,Inglés
311001076448,BOGOTÁ D.C.,COLEGIO DIOS ES AMOR LUCERO ALTO,50,Similar,9,Mayor,51%,27%,18%,4%,0%,Inglés
311001109265,BOGOTÁ D.C.,COLEGIO AGUSTINIANO TAGASTE,74,Menor,9,Mayor,0%,1%,17%,60%,22%,Inglés
111001014451,BOGOTÁ D.C.,COLEGIO JOSE ACEVEDO Y GOMEZ (IED),51,Similar,10,Similar,45%,26%,23%,6%,0%,Inglés
111001100056,BOGOTÁ D.C.,COLEGIO JAIME HERNANDO GARZON,60,Similar,12,Similar,14%,29%,28%,25%,4%,Inglés
111001102181,BOGOTÁ D.C.,COLEGIO SAN FRANCISCO DE ASIS (IED),57,Similar,11,Similar,24%,31%,28%,15%,2%,Inglés
311001093121,BOGOTÁ D.C.,LICEO LA NUEVA ESTANCIA DE SUBA,57,Similar,9,Mayor,12%,44%,34%,7%,2%,Inglés
311001024472,BOGOTÁ D.C.,LICEO SAN BERNARDO,64,Similar,9,Mayor,0%,28%,41%,21%,10%,Inglés
311001045011,BOGOTÁ D.C.,COLEGIO MIXTO CIUDADANOS DEL FUTURO SAS,59,Similar,11,Similar,14%,35%,23%,26%,3%,Inglés
111001100064,BOGOTÁ D.C.,COLEGIO ARGELIA (IED),56,Similar,9,Mayor,18%,41%,33%,6%,3%,Inglés
311001038911,BOGOTÁ D.C.,LICEO JUAN MIGUEL,54,Similar,7,Mayor,7%,73%,13%,7%,0%,Inglés
311001004986,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE LA SABIDURIA,66,Menor,13,Similar,8%,10%,36%,36%,10%,Inglés
311001005311,BOGOTÁ D.C.,COLEGIO PEDRO DE HEREDIA,63,Similar,9,Mayor,3%,28%,38%,28%,3%,Inglés
311001095523,BOGOTÁ D.C.,COLEGIO MAYOR DEL QUIROGA,58,Similar,7,Mayor,0%,57%,36%,7%,0%,Inglés
311001105979,BOGOTÁ D.C.,GIMN MONSEÑOR MANUEL MARIA CAMARGO,64,Similar,11,Similar,6%,25%,24%,32%,13%,Inglés
31100100059,BOGOTÁ D.C.,LICEO CATOLICO CAMPESTRE,75,Menor,6,Mayor,0%,0%,15%,46%,38%,Inglés
311001000841,BOGOTÁ D.C.,COLEGIO MONTFERRI,63,Similar,11,Similar,5%,24%,32%,32%,7%,Inglés
311001017671,BOGOTÁ D.C.,GIMNASIO NUEVA AMERICA,59,Similar,9,Mayor,11%,30%,45%,11%,2%,Inglés
311848002432,BOGOTÁ D.C.,COL DE LA PRESENTACION SANS FACON,72,Menor,13,Similar,4%,4%,30%,41%,22%,Inglés
111001011088,BOGOTÁ D.C.,COLEGIO REPUBLICA DE PANAMA (IED),55,Similar,9,Mayor,20%,49%,22%,9%,0%,Inglés
111001011908,BOGOTÁ D.C.,ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED),58,Similar,11,Similar,20%,34%,27%,16%,4%,Inglés
311001106151,BOGOTÁ D.C.,CORPORACION EDUCATIVA POLITECNICO LA SALLE,48,Mayor,12,Similar,43%,29%,29%,0%,0%,Inglés
311001000298,BOGOTÁ D.C.,COLEGIO SANTA TERESITA,61,Similar,10,Similar,13%,33%,27%,20%,7%,Inglés
311001039399,BOGOTÁ D.C.,COL HENRY WALLON,60,Similar,11,Similar,20%,20%,20%,40%,0%,Inglés
111001098817,BOGOTÁ D.C.,COLEGIO NUEVA ROMA (IED),51,Similar,10,Similar,43%,34%,16%,7%,0%,Inglés
311001042977,BOGOTÁ D.C.,COLEGIO RAFAEL MARIA CARRASQUILLA,57,Similar,10,Similar,12%,44%,24%,20%,0%,Inglés
311848000791,BOGOTÁ D.C.,COL DE NSTRA SRA DEL BUEN CONSEJO,71,Menor,11,Similar,2%,13%,23%,43%,20%,Inglés
311001006466,BOGOTÁ D.C.,COL PARROQ SAN LUIS GONZAGA,64,Similar,10,Similar,6%,15%,35%,38%,5%,Inglés
311001003823,BOGOTÁ D.C.,COLEGIO SAN PIO X,66,Menor,9,Mayor,0%,19%,32%,41%,8%,Inglés
111001010251,BOGOTÁ D.C.,COLEGIO VENECIA (IED),54,Similar,11,Similar,30%,35%,23%,10%,2%,Inglés
11100104427,BOGOTÁ D.C.,COLEGIO LOS COMUNEROS - OSWALDO GUAYAZAMIN (IED),47,Mayor,8,Mayor,52%,42%,5%,1%,0%,Inglés
111001012033,BOGOTÁ D.C.,COLEGIO VEINTE DE JULIO  (IED),52,Similar,9,Mayor,34%,42%,21%,2%,2%,Inglés
311001003483,BOGOTÁ D.C.,COLEGIO DE NUESTRA SEÑORA DEL ROSARIO,71,Menor,8,Mayor,1%,8%,19%,59%,13%,Inglés
311001004871,BOGOTÁ D.C.,COLEGIO INTERAMERICANO,57,Similar,9,Mayor,15%,45%,30%,6%,3%,Inglés
311102000124,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE NAZARETH,60,Similar,10,Similar,8%,27%,46%,15%,3%,Inglés
311001043833,BOGOTÁ D.C.,INSTITUTO COMERCIAL LORETO SEDE B,58,Similar,9,Mayor,7%,40%,40%,13%,0%,Inglés
311001027722,BOGOTÁ D.C.,GIMNASIO FIDEL CANO,74,Menor,6,Mayor,0%,0%,11%,63%,26%,Inglés
311001031851,BOGOTÁ D.C.,GIMN WILLIAM MACKINLEY,69,Menor,12,Similar,4%,13%,23%,44%,17%,Inglés
311001029474,BOGOTÁ D.C.,COL NUEVA ALIANZA INTEGRAL,69,Menor,9,Mayor,2%,11%,20%,51%,16%,Inglés
311001092923,BOGOTÁ D.C.,COLEGIO RICHARD WAGNER,67,Menor,10,Similar,0%,25%,25%,50%,0%,Inglés
311848000481,BOGOTÁ D.C.,COLEGIO PUREZA DE MARIA,76,Menor,9,Mayor,0%,3%,11%,42%,45%,Inglés
111001012459,BOGOTÁ D.C.,COLEGIO SAN JOSE NORTE (IED),66,Menor,9,Mayor,0%,14%,38%,43%,5%,Inglés
111001098906,BOGOTÁ D.C.,COLEGIO EDUARDO UMAÑA LUNA INSTITUCION EDUCATIVA DISTRITAL,48,Mayor,9,Mayor,50%,35%,10%,4%,0%,Inglés
111001033979,BOGOTÁ D.C.,COLEGIO GARCES NAVAS  (IED),53,Similar,10,Similar,35%,39%,16%,11%,0%,Inglés
311001092907,BOGOTÁ D.C.,LIC FESAN,60,Similar,11,Similar,14%,20%,43%,18%,5%,Inglés
311001087547,BOGOTÁ D.C.,COL NAVAL SANTA FE DE BOGOTA,65,Menor,12,Similar,0%,33%,24%,29%,14%,Inglés
311001093393,BOGOTÁ D.C.,GIMNASIO CAMPESTRE BETH-SHALOM,78,Menor,8,Mayor,0%,0%,8%,49%,44%,Inglés
111001100021,BOGOTÁ D.C.,COLEGIO GIMNASIO SABIO CALDAS (IED),56,Similar,10,Similar,16%,42%,30%,10%,1%,Inglés
111102000281,BOGOTÁ D.C.,COLEGIO PABLO DE TARSO (IED),51,Similar,9,Mayor,40%,38%,17%,4%,0%,Inglés
111001002909,BOGOTÁ D.C.,COLEGIO CARLOS ALBAN HOLGUIN (IED),49,Mayor,10,Similar,51%,33%,12%,3%,1%,Inglés
111001012556,BOGOTÁ D.C.,COLEGIO ESPAÑA (IED),51,Similar,11,Similar,46%,21%,25%,7%,0%,Inglés
311001004706,BOGOTÁ D.C.,COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS,75,Menor,12,Similar,4%,4%,8%,58%,25%,Inglés
111001027332,BOGOTÁ D.C.,COLEGIO GUSTAVO RESTREPO (IED),52,Similar,11,Similar,37%,34%,18%,10%,1%,Inglés
311848000294,BOGOTÁ D.C.,COLEGIO CAMPESTRE SAN JOSE - CCSJ,71,Menor,11,Similar,0%,9%,28%,38%,25%,Inglés
311001000352,BOGOTÁ D.C.,COLEGIO ERNESTO GUHL,61,Similar,9,Mayor,13%,38%,25%,25%,0%,Inglés
311001016828,BOGOTÁ D.C.,INSTITUTO SAN ANTONIO DE PADUA,63,Similar,11,Similar,8%,23%,33%,30%,8%,Inglés
311769000769,BOGOTÁ D.C.,COLEGIO NUEVA YORK EU,78,Menor,6,Mayor,0%,0%,3%,51%,46%,Inglés
311001037051,BOGOTÁ D.C.,COLEGIO SAN ISIDRO,58,Similar,11,Similar,25%,25%,17%,33%,0%,Inglés
111001086771,BOGOTÁ D.C.,COLEGIO INSTITUTO TECNICO RODRIGO DE TRIANA (IED),52,Similar,9,Mayor,28%,45%,22%,5%,0%,Inglés
311001032271,BOGOTÁ D.C.,COLEGIO CENTRO CULTURAL,49,Mayor,7,Mayor,38%,57%,5%,0%,0%,Inglés
31127900037,BOGOTÁ D.C.,COLEGIO TERESITA DE LISIEUX,65,Menor,9,Mayor,3%,24%,30%,39%,3%,Inglés
311001090505,BOGOTÁ D.C.,LICEO FORMACION EDUCATIVA PERSONALIZADA,64,Similar,11,Similar,5%,24%,29%,33%,10%,Inglés
311001090459,BOGOTÁ D.C.,GIMN GENERACION DEL FUTURO,57,Similar,10,Similar,21%,33%,21%,24%,0%,Inglés
311001010617,BOGOTÁ D.C.,COLEGIO INTEGRACION MODERNA,67,Menor,11,Similar,0%,22%,30%,37%,11%,Inglés
111001041459,BOGOTÁ D.C.,COLEGIO RICAURTE (CONCEJO) (IED),54,Similar,11,Similar,29%,35%,23%,12%,2%,Inglés
111001018058,BOGOTÁ D.C.,COLEGIO ALEXANDER FLEMING (IED),49,Mayor,9,Mayor,48%,35%,12%,5%,0%,Inglés
111001098841,BOGOTÁ D.C.,COLEGIO SAN JOSE DE USME (IED),53,Similar,9,Mayor,31%,38%,25%,7%,0%,Inglés
311001001626,BOGOTÁ D.C.,GIMNASIO LOS ARRAYANES,72,Menor,9,Mayor,0%,3%,26%,55%,15%,Inglés
31100104385,BOGOTÁ D.C.,EXTERN DEL SUR PSICOPEDAGOGICO,51,Similar,5,Mayor,25%,75%,0%,0%,0%,Inglés
311001034389,BOGOTÁ D.C.,GIMNASIO LOS ALERCES,62,Similar,11,Similar,10%,21%,34%,31%,3%,Inglés
111001076937,BOGOTÁ D.C.,COLEGIO SAN FRANCISCO (IED),52,Similar,10,Similar,30%,48%,13%,8%,2%,Inglés
111001016004,BOGOTÁ D.C.,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),54,Similar,10,Similar,30%,30%,30%,11%,0%,Inglés
311001001162,BOGOTÁ D.C.,COLEGIO PARROQUIAL NUESTRA SEÑORA DE LA VALVANERA,57,Similar,10,Similar,21%,31%,36%,8%,5%,Inglés
311848000308,BOGOTÁ D.C.,COLEGIO ANGLO AMERICANO,84,Menor,9,Mayor,0%,0%,1%,27%,73%,Inglés
311001042721,BOGOTÁ D.C.,COLEGIO ISIDRO MOLINA,68,Menor,8,Mayor,0%,8%,42%,38%,13%,Inglés
311001030456,BOGOTÁ D.C.,INSTITUTO ACADEMICO BETHEL,60,Similar,11,Similar,12%,32%,27%,29%,0%,Inglés
111001016071,BOGOTÁ D.C.,COLEGIO ISABEL II (IED),55,Similar,13,Similar,28%,34%,19%,15%,5%,Inglés
211102000243,BOGOTÁ D.C.,COLEGIO EL PORVENIR (IED),52,Similar,9,Mayor,30%,43%,21%,5%,0%,Inglés
111001086631,BOGOTÁ D.C.,COLEGIO SAN BENITO ABAD (IED),50,Similar,7,Mayor,38%,54%,4%,4%,0%,Inglés
111001011053,BOGOTÁ D.C.,COLEGIO GUILLERMO LEON VALENCIA (IED),53,Similar,10,Similar,32%,36%,19%,12%,0%,Inglés
311001026513,BOGOTÁ D.C.,COLEGIO SANTO DOMINGO BILINGÜE,72,Menor,7,Mayor,0%,1%,26%,61%,12%,Inglés
311001040168,BOGOTÁ D.C.,LICEO SENDERO DEL SABER,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Inglés
311769003008,BOGOTÁ D.C.,COLEGIO TECNOLOGICO DE SUBA,60,Similar,11,Similar,8%,42%,30%,16%,5%,Inglés
311001046689,BOGOTÁ D.C.,LICEO MAX PLANCK,55,Similar,8,Mayor,17%,44%,33%,6%,0%,Inglés
311001093016,BOGOTÁ D.C.,INSTITUTO MARMATOS SEDE 2,56,Similar,7,Mayor,0%,83%,17%,0%,0%,Inglés
31100108775,BOGOTÁ D.C.,COL CRISTIANO GRACIA Y AMOR,70,Menor,12,Similar,0%,19%,14%,57%,10%,Inglés
111001041556,BOGOTÁ D.C.,COLEGIO PROVINCIA DE QUEBEC (IED),54,Similar,9,Mayor,26%,43%,24%,7%,0%,Inglés
311001051798,BOGOTÁ D.C.,INSTITUTO PSICOPEDAGOGICO INTEGRAL,59,Similar,9,Mayor,5%,45%,28%,23%,0%,Inglés
311001026211,BOGOTÁ D.C.,INSTITUTO CULTURAL RAFAEL MAYA,58,Similar,10,Similar,7%,44%,33%,11%,4%,Inglés
311001010099,BOGOTÁ D.C.,GIMNASIO SAN JOSE,60,Similar,11,Similar,10%,27%,47%,13%,3%,Inglés
311001016976,BOGOTÁ D.C.,COL MERCEDARIO SAN PEDRO NOLASCO,59,Similar,10,Similar,10%,38%,38%,5%,10%,Inglés
311001029521,BOGOTÁ D.C.,LICEO REYNEL,58,Similar,7,Mayor,7%,37%,48%,9%,0%,Inglés
311001018693,BOGOTÁ D.C.,COLEGIO ALEXANDER HUMBOLDT,57,Similar,12,Similar,13%,38%,25%,25%,0%,Inglés
111001107115,BOGOTÁ D.C.,COLEGIO JOSE MARIA VARGAS VILA (IED),46,Mayor,8,Mayor,58%,32%,8%,1%,0%,Inglés
31100110235,BOGOTÁ D.C.,UNID EDUC PRADOS DE ALAMEDA,55,Similar,11,Similar,26%,29%,32%,13%,0%,Inglés
111001014346,BOGOTÁ D.C.,COLEGIO RODRIGO ARENAS BETANCOURT  (IED),54,Similar,10,Similar,32%,37%,21%,11%,0%,Inglés
311001086991,BOGOTÁ D.C.,COLEGIO SANTA MARIA DE LA PAZ,58,Similar,11,Similar,20%,25%,35%,20%,0%,Inglés
31100108842,BOGOTÁ D.C.,COLEGIO PAE -PROCESO ALTERNATIVO EDUCATIVO-,59,Similar,11,Similar,13%,33%,21%,33%,0%,Inglés
311001097569,BOGOTÁ D.C.,LIC LATINOAMERICANO DEL SUR,56,Similar,9,Mayor,18%,44%,35%,0%,3%,Inglés
111001010031,BOGOTÁ D.C.,COLEGIO CEDID SAN PABLO (IED),50,Similar,9,Mayor,42%,38%,15%,5%,1%,Inglés
311001039747,BOGOTÁ D.C.,COLEGIO ALEXANDER FLEMING,56,Similar,9,Mayor,16%,41%,35%,8%,0%,Inglés
111001036561,BOGOTÁ D.C.,COLEGIO JOSE JAIME ROJAS (IED),45,Mayor,7,Mayor,67%,31%,2%,0%,0%,Inglés
311001003971,BOGOTÁ D.C.,COLEGIO PARROQUIAL SAN CARLOS,65,Menor,10,Similar,3%,17%,33%,38%,8%,Inglés
311001076561,BOGOTÁ D.C.,LICEO HOMBRE DEL RIO,61,Similar,11,Similar,14%,29%,43%,14%,0%,Inglés
111001104281,BOGOTÁ D.C.,COLEGIO GABRIEL BETANCOURT MEJIA (IED),54,Similar,10,Similar,30%,40%,18%,10%,1%,Inglés
311001038317,BOGOTÁ D.C.,COL MAYOR PRIMEROS MAESTROS,66,Menor,10,Similar,4%,18%,29%,41%,9%,Inglés
311001095191,BOGOTÁ D.C.,COLEGIO SAN SIMON,67,Menor,8,Mayor,0%,18%,35%,41%,6%,Inglés
111001098973,BOGOTÁ D.C.,COLEGIO LA JOYA (IED),49,Mayor,10,Similar,45%,36%,14%,5%,0%,Inglés
111001104043,BOGOTÁ D.C.,INST EDUC DIST FE Y ALEGRIA JOSE MARIA VELAZ,50,Similar,10,Similar,43%,37%,16%,3%,1%,Inglés
311001037094,BOGOTÁ D.C.,CENTRO EDUCATIVO SCALAS,68,Menor,13,Similar,2%,12%,37%,33%,16%,Inglés
311001002576,BOGOTÁ D.C.,COL FRANCISCANO DEL VIRREY SOLIS,79,Menor,9,Mayor,0%,0%,4%,33%,63%,Inglés
31100110719,BOGOTÁ D.C.,COL SAN NICOLAS DE TOLENTINO,58,Similar,9,Mayor,19%,22%,41%,16%,3%,Inglés
31100106542,BOGOTÁ D.C.,LICEO HYPATIA,74,Menor,9,Mayor,0%,5%,14%,57%,24%,Inglés
111001104183,BOGOTÁ D.C.,COLEGIO LEONARDO POSADA PEDRAZA (IED),53,Similar,9,Mayor,28%,44%,21%,6%,1%,Inglés
311001076642,BOGOTÁ D.C.,COL BILING NUEVA ALEJANDRIA,79,Menor,13,Similar,0%,0%,21%,26%,53%,Inglés
111769003424,BOGOTÁ D.C.,COLEGIO GERARDO PAREDES (IED),49,Mayor,9,Mayor,43%,43%,12%,2%,1%,Inglés
