codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
10503400074,ANDES,INSTITUCION EDUCATIVA JUAN DE DIOS URIBE,42,Similar,8,Similar,73%,23%,5%,0%,0%,Inglés
105034001207,ANDES,INSTITUCION EDUCATIVA MARIA AUXILIADORA,57,Menor,10,Similar,17%,40%,27%,13%,3%,Inglés
205034000345,ANDES,I. E. FELIPE HENAO JARAMILLO,44,Similar,8,Similar,68%,29%,3%,0%,0%,Inglés
205034000248,ANDES,INSTITUCION EDUCATIVA TAPARTO,45,Similar,7,Mayor,71%,19%,10%,0%,0%,Inglés
105034000014,ANDES,INSTITUCION EDUCATIVA SAN JUAN DE LOS ANDES,56,Menor,11,Similar,28%,23%,30%,19%,0%,Inglés
205034001317,ANDES,I. E. SAN PERUCHITO,42,Similar,7,Mayor,67%,33%,0%,0%,0%,Inglés
205034000078,ANDES,INSTITUCIÓN EDUCATIVA RURAL CARBONERA,42,Similar,7,Mayor,74%,26%,0%,0%,0%,Inglés
205034000329,ANDES,C. E. R. SANTA INES,42,Similar,7,Mayor,83%,17%,0%,0%,0%,Inglés
105036000097,ANGELÓPOLIS,INSTITUCION EDUCATIVA SAN JOSE,42,Similar,11,Similar,80%,10%,6%,4%,0%,Inglés
205036000083,ANGELÓPOLIS,INSTITUCION EDUCATIVA LOS ANGELES,43,Similar,7,Mayor,71%,29%,0%,0%,0%,Inglés
105038000019,ANGOSTURA,I. E. MARIANO DE JESUS EUSSE,43,Similar,8,Similar,74%,22%,3%,1%,0%,Inglés
205038000439,ANGOSTURA,C. E. R. PAJARITO ARRIBA,39,Mayor,7,Mayor,88%,11%,1%,0%,0%,Inglés
105040000212,ANORÍ,I. E. ANORI,42,Similar,11,Similar,78%,11%,7%,4%,0%,Inglés
205040001434,ANORÍ,I.E.R LA CRISTALINA,37,Mayor,6,Mayor,94%,6%,0%,0%,0%,Inglés
305042000707,SANTA FÉ DE ANTIOQUIA,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL -IAUR-,59,Menor,14,Similar,18%,18%,36%,18%,9%,Inglés
105042000732,SANTA FÉ DE ANTIOQUIA,I. E. ARTURO VELASQUEZ ORTIZ,48,Similar,11,Similar,51%,35%,6%,8%,0%,Inglés
10504200018,SANTA FÉ DE ANTIOQUIA,I. E. SAN LUIS GONZAGA,48,Similar,9,Similar,52%,35%,8%,4%,1%,Inglés
205042000281,SANTA FÉ DE ANTIOQUIA,I. E. R. NURQUI,40,Similar,6,Mayor,89%,11%,0%,0%,0%,Inglés
205042000508,SANTA FÉ DE ANTIOQUIA,I. E. R. OGOSCO,40,Similar,7,Mayor,82%,15%,3%,0%,0%,Inglés
205042000354,SANTA FÉ DE ANTIOQUIA,C. E. R. EL PESCADO,39,Mayor,7,Mayor,90%,10%,0%,0%,0%,Inglés
205044000017,ANZÁ,I. E. R. ASCENSION MONTOYA DE TORRES,43,Similar,8,Similar,70%,26%,4%,0%,0%,Inglés
105044000128,ANZÁ,I. E. ANZA,44,Similar,8,Similar,63%,26%,11%,0%,0%,Inglés
205051001347,ARBOLETES,INSTITUCION EDUCATIVA RURAL BUENOS AIRES,41,Similar,6,Mayor,87%,13%,0%,0%,0%,Inglés
205051002238,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA TRINIDAD,44,Similar,8,Similar,71%,25%,4%,0%,0%,Inglés
105051000508,ARBOLETES,I. E. JOSE MANUEL RESTREPO,45,Similar,9,Similar,70%,21%,6%,2%,0%,Inglés
205051001959,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA CANDELARIA,42,Similar,6,Mayor,83%,17%,0%,0%,0%,Inglés
205051000081,ARBOLETES,I. E. R. PAJILLAL,44,Similar,4,Mayor,76%,24%,0%,0%,0%,Inglés
205051001339,ARBOLETES,I. E. R. EL CARMELO,40,Similar,6,Mayor,88%,13%,0%,0%,0%,Inglés
205051002696,ARBOLETES,INSTITUCION EDUCATIVA RURAL SANTA FE DE LAS PLATAS,39,Mayor,7,Mayor,86%,14%,0%,0%,0%,Inglés
2050510027,ARBOLETES,I. E. R. GUADUAL ARRIBA,41,Similar,5,Mayor,86%,14%,0%,0%,0%,Inglés
105051000028,ARBOLETES,INSTITUCION EDUCATIVA MIGUEL VICENTE GARRIDO ORTIZ,50,Similar,11,Similar,45%,31%,17%,7%,0%,Inglés
205051002467,ARBOLETES,I. E. R. BAJO LA ARENOSA,38,Mayor,7,Mayor,92%,8%,0%,0%,0%,Inglés
405051007999,ARBOLETES,I. E. R. INDIGENA EL CANIME,39,Mayor,5,Mayor,100%,0%,0%,0%,0%,Inglés
105055000022,ARGELIA,I. E. SANTA TERESA,44,Similar,8,Similar,66%,31%,3%,0%,0%,Inglés
205055000281,ARGELIA,I. E. R. PRESBITERO MARIO ANGEL,40,Similar,8,Similar,74%,26%,0%,0%,0%,Inglés
105059000116,ARMENIA,INSTITUCION EDUCATIVA ROSA MESA DE MEJIA,49,Similar,9,Similar,52%,40%,4%,4%,0%,Inglés
105079000406,BARBOSA,I. E. PRESBITERO LUIS EDUARDO PEREZ MOLINA,45,Similar,11,Similar,68%,18%,8%,6%,0%,Inglés
205079000346,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL EL TABLAZO,45,Similar,11,Similar,55%,34%,9%,2%,0%,Inglés
205079000885,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL EL HATILLO,49,Similar,11,Similar,48%,34%,14%,2%,2%,Inglés
205079000206,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL YARUMITO,43,Similar,5,Mayor,79%,21%,0%,0%,0%,Inglés
3050790006,BARBOSA,COLEGIO COOPERATIVO SIMON BOLIVAR (P),57,Menor,12,Similar,18%,29%,35%,18%,0%,Inglés
105079000082,BARBOSA,INSTITUCION EDUCATIVA LUIS EDUARDO ARIAS REINEL,48,Similar,8,Similar,44%,41%,13%,1%,0%,Inglés
105079000015,BARBOSA,I. E. MANUEL JOSE CAICEDO,49,Similar,10,Similar,45%,34%,18%,2%,0%,Inglés
205079000729,BARBOSA,I. E. R. BUGA,42,Similar,8,Similar,82%,12%,5%,1%,0%,Inglés
205086000033,BELMIRA,I. E. R.  LABORES,40,Similar,8,Similar,85%,11%,4%,0%,0%,Inglés
10508600011,BELMIRA,INSTITUCION EDUCATIVA PRESBITERO RICARDO LUIS GUTIERREZ TOBON,47,Similar,11,Similar,66%,28%,0%,0%,6%,Inglés
205086000092,BELMIRA,I. E. R. CARLOS GONZALEZ,44,Similar,7,Mayor,73%,22%,5%,0%,0%,Inglés
105091000012,BETANIA,INSTITUCION EDUCATIVA PERLA DEL CITARA,43,Similar,8,Similar,73%,24%,3%,0%,0%,Inglés
105093000109,BETULIA,I. E. SAN JOSE,42,Similar,8,Similar,78%,19%,2%,1%,0%,Inglés
20509300026,BETULIA,I E FRANCISCO CESAR,41,Similar,8,Similar,88%,8%,3%,3%,0%,Inglés
205093000413,BETULIA,I. E. R. LA SUCRE,41,Similar,7,Mayor,83%,13%,3%,0%,0%,Inglés
205101000371,CIUDAD BOLÍVAR,I. E. R. LA ERMITA,50,Similar,5,Mayor,25%,75%,0%,0%,0%,Inglés
205101000304,CIUDAD BOLÍVAR,I. E. R. JUAN TAMAYO,45,Similar,8,Similar,55%,40%,5%,0%,0%,Inglés
105101000172,CIUDAD BOLÍVAR,I. E. MARIA AUXILIADORA,51,Similar,10,Similar,38%,37%,21%,3%,1%,Inglés
105101000717,CIUDAD BOLÍVAR,I. E. JOSE MARIA HERRAN,52,Similar,10,Similar,35%,30%,30%,5%,0%,Inglés
305101000597,CIUDAD BOLÍVAR,I.E. COLEGIO COOPERATIVO ALEJANDRINO RESTREPO,49,Similar,7,Mayor,38%,50%,13%,0%,0%,Inglés
105101000571,CIUDAD BOLÍVAR,I. E.  SAN JOSE DEL CITARA,48,Similar,11,Similar,52%,29%,12%,7%,0%,Inglés
205101000355,CIUDAD BOLÍVAR,INSTITUCIÓN EDUCATIVA RURAL FARALLONES,46,Similar,7,Mayor,46%,50%,4%,0%,0%,Inglés
105107000166,BRICEÑO,INSTITUCION EDUCATIVA ANTONIO ROLDAN BETANCUR,42,Similar,10,Similar,80%,12%,4%,3%,0%,Inglés
105113000071,BURITICÁ,I. E. SANTA GEMA,42,Similar,9,Similar,78%,17%,4%,2%,0%,Inglés
205113000407,BURITICÁ,I. E. R. ADOLFO MORENO USUGA,38,Mayor,6,Mayor,86%,14%,0%,0%,0%,Inglés
205120001435,CÁCERES,I. E. GASPAR DE RODAS,43,Similar,9,Similar,73%,22%,2%,2%,2%,Inglés
205120000391,CÁCERES,I. E. PIAMONTE,43,Similar,7,Mayor,69%,31%,0%,0%,0%,Inglés
105120000345,CÁCERES,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,45,Similar,10,Similar,73%,16%,9%,2%,1%,Inglés
205120000366,CÁCERES,I. E. AURELIO MEJIA,43,Similar,9,Similar,71%,25%,4%,0%,0%,Inglés
205120000081,CÁCERES,I. E. GUARUMO,42,Similar,7,Mayor,83%,15%,2%,1%,0%,Inglés
205120000315,CÁCERES,I. E. MANIZALES,40,Similar,5,Mayor,100%,0%,0%,0%,0%,Inglés
205120001346,CÁCERES,I.E.R LA VICTORIA,39,Mayor,6,Mayor,83%,17%,0%,0%,0%,Inglés
105125000254,CAICEDO,I. E. SAN JUAN BOSCO,44,Similar,7,Mayor,64%,31%,5%,0%,0%,Inglés
205125000062,CAICEDO,I. E. R. EL HATO,40,Similar,7,Mayor,82%,16%,2%,0%,0%,Inglés
105129000216,CALDAS,INSTITUCION EDUCATIVA JOSE MARIA BERNAL,52,Similar,10,Similar,35%,39%,18%,7%,1%,Inglés
105129000071,CALDAS,INSTITUCION EDUCATIVA FEDERICO ANGEL,51,Similar,10,Similar,49%,30%,15%,5%,1%,Inglés
20512900013,CALDAS,INSTITUCIÓN EDUCATIVA SALINAS,46,Similar,10,Similar,64%,29%,0%,7%,0%,Inglés
105129000534,CALDAS,INSTITUCIÓN EDUCATIVA PEDRO LUIS ALVAREZ CORREA,54,Similar,11,Similar,29%,40%,15%,15%,1%,Inglés
105129000089,CALDAS,INSTITUCION EDUCATIVA GABRIEL ECHAVARRIA,55,Menor,13,Similar,26%,44%,18%,3%,9%,Inglés
105129000208,CALDAS,INSTITUCION EDUCATIVA MARIA AUXILIADORA,56,Menor,11,Similar,18%,39%,23%,18%,2%,Inglés
305129000002,CALDAS,COLEGIO TERCER MILENIO,66,Menor,11,Similar,7%,18%,26%,34%,15%,Inglés
205129000121,CALDAS,I. E. R. DARIO GUTIERREZ RAVE,49,Similar,7,Mayor,39%,43%,17%,0%,0%,Inglés
105134000046,CAMPAMENTO,I. E.  NUESTRA SEÑORA DEL ROSARIO,45,Similar,10,Similar,67%,22%,7%,4%,0%,Inglés
205138000622,CAÑASGORDAS,I. E. R. JUNTAS DE URAMITA,40,Similar,8,Similar,83%,13%,4%,0%,0%,Inglés
